water,style,mode,error_ppm,old_error_ppm,conditional_lower_bound_ppm,gap_ppm,salts,ms,ra,doses
"Fribourg (indicatif)","05B","modest","22.243","23.585","20.229","2.014","1","0.08","136","{""kcl"":2}"
"Fribourg (indicatif)","05D","minimum","21.015","22.269","18.836","2.179","2","0.17","131","{""gypse"":0.6,""kcl"":0.8}"
"Fribourg (indicatif)","05D","target","20.575","21.853","18.298","2.277","2","0.16","131","{""gypse"":0.6,""kcl"":0.8}"
"Fribourg (indicatif)","05D","modest","20.575","21.853","18.298","2.277","2","0.16","131","{""gypse"":0.6,""kcl"":0.8}"
"Fribourg (indicatif)","04A","minimum","11.460","15.504","11.313","0.147","1","0.08","136","{""kcl"":1.6}"
"Fribourg (indicatif)","04A","target","10.712","14.960","10.402","0.310","1","0.08","136","{""kcl"":1.6}"
"Fribourg (indicatif)","04A","modest","10.712","14.960","10.402","0.310","1","0.07","136","{""kcl"":1.6}"
"Fribourg (indicatif)","06C","minimum","7.676","19.455","7.552","0.124","3","1.76","130.3","{""epsom"":1.1,""mgcl2"":0.7,""kcl"":2.8}"
"Fribourg (indicatif)","06C","target","4.316","19.207","4.307","0.008","3","2.07","132.8","{""epsom"":1.1,""nacl"":0.9,""kcl"":2.3}"
"Fribourg (indicatif)","06C","modest","4.656","19.240","4.653","0.003","3","1.81","132.8","{""epsom"":1.1,""nacl"":0.9,""kcl"":2.3}"
"Fribourg (indicatif)","08B","minimum","7.761","19.455","7.552","0.209","3","1.76","131","{""epsom"":1,""mgcl2"":0.6,""kcl"":2.8}"
"Fribourg (indicatif)","08B","target","4.656","19.240","4.653","0.003","3","1.95","132.8","{""epsom"":1.1,""nacl"":0.9,""kcl"":2.3}"
"Fribourg (indicatif)","08B","modest","4.656","19.240","4.653","0.003","3","1.80","132.8","{""epsom"":1.1,""nacl"":0.9,""kcl"":2.3}"
"Fribourg (indicatif)","10A","minimum","11.579","19.593","11.577","0.003","2","0.31","133.4","{""epsom"":0.9,""kcl"":2.6}"
"Fribourg (indicatif)","10A","target","10.992","19.379","10.418","0.574","2","0.30","133.1","{""epsom"":1,""kcl"":2.6}"
"Fribourg (indicatif)","10A","modest","10.992","19.379","10.418","0.574","2","0.30","133.1","{""epsom"":1,""kcl"":2.6}"
"Fribourg (indicatif)","11C","minimum","8.101","19.902","7.632","0.469","3","2.09","59.2","{""gypse"":8.6,""epsom"":1.8,""kcl"":2.8}"
"Fribourg (indicatif)","11C","target","6.404","20.520","5.765","0.639","3","2.10","59.2","{""gypse"":8.6,""epsom"":1.8,""nacl"":2.4}"
"Fribourg (indicatif)","11C","modest","5.795","19.818","5.765","0.030","4","1.74","59.2","{""gypse"":8.6,""epsom"":1.8,""nacl"":0.9,""kcl"":1.9}"
"Fribourg (indicatif)","13C","minimum","8.248","21.028","8.042","0.206","3","2.04","112.5","{""gypse"":1.8,""mgcl2"":2.4,""kcl"":2.8}"
"Fribourg (indicatif)","13C","target","1.847","21.469","1.799","0.048","4","2.05","124.4","{""gypse"":0.9,""epsom"":1.4,""nacl"":1.7,""kcl"":2.6}"
"Fribourg (indicatif)","13C","modest","3.406","20.829","3.208","0.198","4","2.12","124.2","{""gypse"":1,""epsom"":1.2,""nacl"":1.5,""kcl"":2.8}"
"Fribourg (indicatif)","15B","minimum","7.765","18.798","7.567","0.198","3","1.80","129.8","{""epsom"":2.1,""nacl"":1.3,""kcl"":2.8}"
"Fribourg (indicatif)","15B","target","3.096","19.938","3.087","0.009","3","1.90","129.8","{""epsom"":2.1,""nacl"":2,""kcl"":2}"
"Fribourg (indicatif)","15B","modest","4.118","18.709","4.044","0.074","3","1.89","129.8","{""epsom"":2.1,""nacl"":1.3,""kcl"":2.8}"
"Fribourg (indicatif)","16A","minimum","8.197","20.452","8.114","0.084","4","1.89","115.4","{""gypse"":1.5,""mgcl2"":2.3,""nacl"":1.1,""kcl"":2.8}"
"Fribourg (indicatif)","16A","target","1.526","22.069","1.467","0.060","4","2.26","126.1","{""gypse"":0.8,""epsom"":1.1,""nacl"":2.5,""kcl"":2.8}"
"Fribourg (indicatif)","16A","modest","4.697","20.370","4.521","0.176","4","2.03","118.6","{""cacl2"":1.1,""epsom"":2.3,""nacl"":1.6,""kcl"":2.8}"
"Fribourg (indicatif)","20C","minimum","7.546","21.174","7.426","0.120","5","4.38","118","{""gypse"":2.1,""mgcl2"":1.5,""nacl"":1,""kcl"":2.8,""chaux"":0.1}"
"Fribourg (indicatif)","20C","target","0.960","22.198","0.873","0.087","4","2.35","121.1","{""gypse"":1.4,""epsom"":1.1,""nacl"":2.8,""kcl"":1.7}"
"Fribourg (indicatif)","20C","modest","4.502","20.732","3.834","0.669","5","7.99","119.4","{""gypse"":2.1,""mgcl2"":1.1,""nacl"":1.3,""kcl"":2.8,""chaux"":0.1}"
"Fribourg (indicatif)","18B","minimum","11.839","22.828","11.800","0.039","3","1.82","89.1","{""gypse"":5,""epsom"":1.8,""kcl"":2.8}"
"Fribourg (indicatif)","18B","target","10.949","22.910","10.436","0.513","3","1.78","89.1","{""gypse"":5,""epsom"":1.8,""nacl"":2.1}"
"Fribourg (indicatif)","18B","modest","11.045","22.644","10.436","0.609","3","1.75","89.1","{""gypse"":5,""epsom"":1.8,""kcl"":2.8}"
"Fribourg (indicatif)","21A","minimum","19.096","28.662","18.932","0.164","3","1.65","50.9","{""gypse"":9.6,""epsom"":1.8,""kcl"":2}"
"Fribourg (indicatif)","21A","target","18.326","28.727","18.113","0.213","3","1.46","50.9","{""gypse"":9.6,""epsom"":1.8,""nacl"":1.6}"
"Fribourg (indicatif)","21A","modest","18.449","28.516","18.113","0.336","3","1.54","50.9","{""gypse"":9.6,""epsom"":1.8,""nacl"":1.5}"
"Fribourg (indicatif)","21B","minimum","9.890","19.174","9.725","0.165","5","3.97","102.9","{""gypse"":5.5,""epsom"":1.8,""nacl"":0.5,""kcl"":2.8,""nahco3"":0.6}"
"Fribourg (indicatif)","21B","target","6.255","17.972","6.180","0.075","5","3.55","102.9","{""gypse"":5.5,""epsom"":1.8,""nacl"":0.6,""kcl"":2.8,""nahco3"":0.6}"
"Fribourg (indicatif)","21B","modest","6.255","17.972","6.180","0.075","5","3.65","102.9","{""gypse"":5.5,""epsom"":1.8,""nacl"":0.6,""kcl"":2.8,""nahco3"":0.6}"
"Fribourg (indicatif)","21C","minimum","13.396","25.645","13.271","0.125","5","1.76","84.9","{""gypse"":2.7,""cacl2"":2.4,""mgcl2"":1.5,""nacl"":1.8,""kcl"":2.8}"
"Fribourg (indicatif)","21C","target","7.326","25.718","7.205","0.121","5","1.78","92.8","{""gypse"":2.8,""cacl2"":1.5,""mgcl2"":1.5,""nacl"":2.6,""kcl"":2.8}"
"Fribourg (indicatif)","21C","modest","8.347","25.482","8.196","0.151","5","1.96","91.8","{""gypse"":2.8,""cacl2"":1.6,""mgcl2"":1.5,""nacl"":2.5,""kcl"":2.8}"
"Fribourg (indicatif)","23A","minimum","11.029","18.060","10.524","0.505","2","0.20","131.8","{""gypse"":0.5,""kcl"":2.6}"
"Fribourg (indicatif)","23A","target","10.723","17.874","9.527","1.196","2","0.19","131.8","{""gypse"":0.5,""kcl"":2.6}"
"Fribourg (indicatif)","23A","modest","10.723","17.874","9.527","1.196","2","0.18","131.8","{""gypse"":0.5,""kcl"":2.6}"
"Fribourg (indicatif)","27","minimum","8.025","16.046","7.544","0.482","3","0.19","131","{""gypse"":0.6,""nacl"":4,""kcl"":2.2}"
"Fribourg (indicatif)","27","target","13.012","38.724","12.705","0.307","2","0.17","131","{""gypse"":0.6,""nacl"":6.8}"
"Fribourg (indicatif)","27","modest","7.647","15.860","7.098","0.549","3","0.19","131","{""gypse"":0.6,""nacl"":4,""kcl"":2.2}"
"Fribourg (indicatif)","24A","minimum","10.888","21.674","10.798","0.090","3","0.98","131","{""epsom"":1.7,""nacl"":0.5,""kcl"":2.8}"
"Fribourg (indicatif)","24A","target","8.648","21.481","8.636","0.012","3","1.19","131","{""epsom"":1.7,""nacl"":0.9,""kcl"":2.4}"
"Fribourg (indicatif)","24A","modest","8.648","21.481","8.636","0.012","3","1.04","131","{""epsom"":1.7,""nacl"":0.9,""kcl"":2.4}"
"Fribourg (indicatif)","24C","minimum","10.527","21.514","10.430","0.097","4","1.59","116.6","{""gypse"":1.7,""epsom"":1.8,""nacl"":0.5,""kcl"":2.8}"
"Fribourg (indicatif)","24C","target","8.154","21.601","8.095","0.060","4","1.83","116.6","{""gypse"":1.7,""epsom"":1.8,""nacl"":1.3,""kcl"":1.9}"
"Fribourg (indicatif)","24C","modest","8.157","21.320","8.095","0.062","4","1.68","116.6","{""gypse"":1.7,""epsom"":1.8,""nacl"":0.9,""kcl"":2.4}"
"Fribourg (indicatif)","25B","minimum","19.713","33.700","19.350","0.363","3","1.48","114.9","{""gypse"":1.9,""epsom"":1.8,""kcl"":2.5}"
"Fribourg (indicatif)","25B","target","19.247","33.576","18.549","0.698","3","1.76","114.9","{""gypse"":1.9,""epsom"":1.8,""kcl"":2.5}"
"Fribourg (indicatif)","25B","modest","19.247","33.576","18.549","0.698","3","1.58","114.9","{""gypse"":1.9,""epsom"":1.8,""kcl"":2.5}"
"Fribourg (indicatif)","26C","minimum","17.626","20.637","15.813","1.813","2","0.28","120.2","{""gypse"":1.9,""kcl"":2.3}"
"Fribourg (indicatif)","26C","target","17.367","20.475","15.167","2.200","2","0.28","120.2","{""gypse"":1.9,""nacl"":1.7}"
"Fribourg (indicatif)","26C","modest","17.367","20.475","15.167","2.200","2","0.27","120.2","{""gypse"":1.9,""nacl"":1.7}"
"Fribourg (indicatif)","26D","minimum","8.320","19.547","7.768","0.552","3","2.14","116.6","{""cacl2"":1,""epsom"":3.3,""kcl"":2.8}"
"Fribourg (indicatif)","26D","target","2.694","20.021","2.666","0.028","4","2.17","121.3","{""gypse"":1,""epsom"":2.2,""nacl"":1.7,""kcl"":1.7}"
"Fribourg (indicatif)","26D","modest","3.478","19.333","3.457","0.021","4","2.10","120.7","{""gypse"":1.1,""epsom"":2.1,""nacl"":0.9,""kcl"":2.8}"
"Fribourg (indicatif)","NA-BLONDE","minimum","10.625","20.027","10.194","0.431","3","0.48","128.5","{""gypse"":0.9,""nacl"":1.8,""kcl"":2.8}"
"Fribourg (indicatif)","NA-BLONDE","target","7.849","20.286","7.250","0.599","3","0.32","128.5","{""gypse"":0.9,""nacl"":1.9,""kcl"":2.8}"
"Fribourg (indicatif)","NA-BLONDE","modest","8.383","19.986","7.812","0.572","3","0.28","128.5","{""gypse"":0.9,""nacl"":1.9,""kcl"":2.8}"
"Fribourg (indicatif)","NA-IPA","minimum","15.121","25.361","14.556","0.565","4","0.30","103.2","{""gypse"":3,""cacl2"":0.8,""nacl"":2.4,""kcl"":2.8}"
"Fribourg (indicatif)","NA-IPA","target","12.662","25.112","11.873","0.789","4","0.34","103.2","{""gypse"":3,""cacl2"":0.8,""nacl"":2.4,""kcl"":2.8}"
"Fribourg (indicatif)","NA-IPA","modest","13.209","25.023","12.472","0.737","4","0.33","103.2","{""gypse"":3,""cacl2"":0.8,""nacl"":2.4,""kcl"":2.8}"
"Fribourg (indicatif)","NA-WEISS","minimum","15.703","19.334","14.401","1.301","2","0.09","136","{""nacl"":1.5,""kcl"":2.8}"
"Fribourg (indicatif)","NA-WEISS","target","14.332","19.091","12.897","1.435","2","0.08","136","{""nacl"":1.6,""kcl"":2.8}"
"Fribourg (indicatif)","NA-WEISS","modest","14.519","18.947","13.090","1.429","2","0.09","136","{""nacl"":1.6,""kcl"":2.8}"
"Fribourg (indicatif)","NA-STOUT","minimum","7.317","14.719","7.146","0.171","4","1.91","118.8","{""cacl2"":1.4,""epsom"":1.2,""nacl"":1.9,""kcl"":2.8}"
"Fribourg (indicatif)","NA-STOUT","target","2.934","15.351","2.311","0.623","3","2.04","128.5","{""gypse"":0.9,""nacl"":3.1,""kcl"":2.8}"
"Fribourg (indicatif)","NA-STOUT","modest","5.650","14.200","5.105","0.545","4","1.86","118.5","{""cacl2"":1.4,""epsom"":1.3,""nacl"":1.9,""kcl"":2.8}"
"Fribourg (indicatif)","NA-LAGER","minimum","16.489","20.895","14.945","1.545","2","0.12","136","{""nacl"":0.7,""kcl"":2.8}"
"Fribourg (indicatif)","NA-LAGER","target","15.944","20.855","14.323","1.622","2","0.10","136","{""nacl"":0.9,""kcl"":2.6}"
"Fribourg (indicatif)","NA-LAGER","modest","15.944","20.855","14.323","1.622","2","0.10","136","{""nacl"":0.9,""kcl"":2.6}"
"Fribourg (indicatif)","—","minimum","9.689","24.432","9.563","0.126","4","2.57","115.7","{""gypse"":1.8,""epsom"":1.8,""nacl"":0.7,""kcl"":2.8}"
"Fribourg (indicatif)","—","target","6.504","24.509","6.450","0.054","4","1.82","115.7","{""gypse"":1.8,""epsom"":1.8,""nacl"":1.3,""kcl"":2.2}"
"Fribourg (indicatif)","—","modest","6.504","24.261","6.450","0.054","4","2.13","115.7","{""gypse"":1.8,""epsom"":1.8,""nacl"":0.9,""kcl"":2.7}"
"Pilsen","01A","minimum","3.343","3.867","3.304","0.039","2","1.87","-31.9","{""gypse"":2,""cacl2"":2.2}"
"Pilsen","01A","target","4.682","5.070","4.654","0.028","2","1.84","-31.9","{""gypse"":2,""cacl2"":2.2}"
"Pilsen","01A","modest","4.682","5.070","4.654","0.028","2","2.06","-31.9","{""gypse"":2,""cacl2"":2.2}"
"Pilsen","05B","minimum","1.132","1.901","1.115","0.017","2","1.70","-48.9","{""gypse"":3.1,""cacl2"":3}"
"Pilsen","05B","target","3.701","4.004","3.346","0.355","2","1.80","-48.9","{""gypse"":3.1,""cacl2"":3}"
"Pilsen","05B","modest","3.701","4.004","3.346","0.355","2","1.94","-48.9","{""gypse"":3.1,""cacl2"":3}"
"Pilsen","05D","minimum","5.158","6.376","5.151","0.006","2","1.71","-44.2","{""gypse"":3.6,""cacl2"":2.1}"
"Pilsen","05D","target","5.854","6.951","5.848","0.006","2","2.05","-44.2","{""gypse"":3.6,""cacl2"":2.1}"
"Pilsen","05D","modest","5.854","6.951","5.848","0.006","2","1.92","-44.2","{""gypse"":3.6,""cacl2"":2.1}"
"Pilsen","04A","minimum","6.405","7.650","6.423","-0.018","2","1.96","-35.4","{""gypse"":1.6,""cacl2"":2.9}"
"Pilsen","04A","target","7.310","8.422","7.326","-0.016","2","2.06","-35.4","{""gypse"":1.6,""cacl2"":2.9}"
"Pilsen","04A","modest","7.310","8.422","7.326","-0.016","2","1.90","-35.4","{""gypse"":1.6,""cacl2"":2.9}"
"Pilsen","06C","minimum","11.660","11.806","11.647","0.013","3","2.79","59.2","{""gypse"":2.2,""cacl2"":4.6,""nahco3"":3.9}"
"Pilsen","06C","target","7.328","7.755","7.307","0.021","3","2.58","59.2","{""gypse"":2.2,""cacl2"":4.6,""nahco3"":3.9}"
"Pilsen","06C","modest","6.997","7.443","6.975","0.022","3","2.78","59.2","{""gypse"":2.2,""cacl2"":4.6,""nahco3"":3.9}"
"Pilsen","08B","minimum","11.512","11.785","11.494","0.018","4","4.05","85.1","{""gypse"":2.1,""cacl2"":4.6,""nahco3"":4.1,""chaux"":0.4}"
"Pilsen","08B","target","6.286","6.773","6.253","0.033","4","3.95","85.1","{""gypse"":2.1,""cacl2"":4.6,""nahco3"":4.1,""chaux"":0.4}"
"Pilsen","08B","modest","6.286","6.773","6.253","0.033","4","4.05","85.1","{""gypse"":2.1,""cacl2"":4.6,""nahco3"":4.1,""chaux"":0.4}"
"Pilsen","10A","minimum","1.940","2.542","1.878","0.063","2","2.01","-46.5","{""gypse"":2,""cacl2"":3.7}"
"Pilsen","10A","target","5.952","6.175","5.495","0.457","2","1.98","-46.5","{""gypse"":2,""cacl2"":3.7}"
"Pilsen","10A","modest","5.952","6.175","5.495","0.457","2","1.94","-46.5","{""gypse"":2,""cacl2"":3.7}"
"Pilsen","11C","minimum","3.901","4.335","3.901","0.000","2","1.85","-128.7","{""gypse"":11.3,""cacl2"":4.2}"
"Pilsen","11C","target","8.957","9.154","8.389","0.567","2","1.73","-128.7","{""gypse"":11.3,""cacl2"":4.2}"
"Pilsen","11C","modest","6.472","6.742","6.360","0.112","2","2.13","-128.7","{""gypse"":11.3,""cacl2"":4.2}"
"Pilsen","13C","minimum","13.727","13.552","13.720","0.007","3","3.71","68.9","{""gypse"":3.2,""cacl2"":5.8,""nahco3"":4.9}"
"Pilsen","13C","target","6.299","6.277","6.284","0.015","3","3.81","68.9","{""gypse"":3.2,""cacl2"":5.8,""nahco3"":4.9}"
"Pilsen","13C","modest","8.432","8.325","8.420","0.011","3","4.06","68.9","{""gypse"":3.2,""cacl2"":5.8,""nahco3"":4.9}"
"Pilsen","15B","minimum","14.328","14.336","14.310","0.017","3","2.89","115.8","{""gypse"":2.8,""cacl2"":5.6,""nahco3"":6.3}"
"Pilsen","15B","target","7.802","7.817","7.717","0.085","3","2.93","115.8","{""gypse"":2.8,""cacl2"":5.6,""nahco3"":6.3}"
"Pilsen","15B","modest","11.667","11.677","11.633","0.034","3","2.90","115.8","{""gypse"":2.8,""cacl2"":5.6,""nahco3"":6.3}"
"Pilsen","16A","minimum","14.048","14.048","14.041","0.007","3","3.60","100.3","{""gypse"":2.8,""cacl2"":6.9,""nahco3"":6.2}"
"Pilsen","16A","target","6.293","6.293","5.915","0.378","3","3.87","100.3","{""gypse"":2.8,""cacl2"":6.9,""nahco3"":6.2}"
"Pilsen","16A","modest","11.395","11.395","11.272","0.124","3","4.10","100.3","{""gypse"":2.8,""cacl2"":6.9,""nahco3"":6.2}"
"Pilsen","20C","minimum","15.711","15.802","15.674","0.036","3","3.88","118.1","{""gypse"":3.5,""cacl2"":6.3,""nahco3"":6.8}"
"Pilsen","20C","target","6.861","7.067","6.817","0.045","3","3.72","118.1","{""gypse"":3.5,""cacl2"":6.3,""nahco3"":6.8}"
"Pilsen","20C","modest","13.038","13.148","13.001","0.037","3","3.78","118.1","{""gypse"":3.5,""cacl2"":6.3,""nahco3"":6.8}"
"Pilsen","18B","minimum","1.105","1.309","0.816","0.289","2","1.90","-94.9","{""gypse"":7.7,""cacl2"":3.8}"
"Pilsen","18B","target","5.089","7.104","5.085","0.004","3","1.83","-86","{""gypse"":7.8,""cacl2"":2.8,""nacl"":0.9}"
"Pilsen","18B","modest","4.157","5.778","4.161","-0.004","3","1.83","-87.9","{""gypse"":7.8,""cacl2"":3,""nacl"":0.7}"
"Pilsen","21A","minimum","0.985","5.660","0.816","0.168","3","1.97","-114.7","{""gypse"":12.9,""cacl2"":1.4,""kcl"":1.7}"
"Pilsen","21A","target","2.691","8.988","2.676","0.015","3","1.81","-112.8","{""gypse"":12.9,""cacl2"":1.2,""nacl"":1.5}"
"Pilsen","21A","modest","2.374","7.982","2.055","0.318","3","1.84","-114.7","{""gypse"":12.9,""cacl2"":1.4,""nacl"":1.3}"
"Pilsen","21B","minimum","5.751","15.734","5.333","0.418","5","6.48","100.4","{""gypse"":6.7,""epsom"":2,""mgcl2"":2.3,""kcl"":2.8,""chaux"":3.4}"
"Pilsen","21B","target","0.200","12.432","0.000","0.200","5","6.55","99.3","{""gypse"":6.5,""epsom"":2.4,""nacl"":1.4,""kcl"":2.8,""chaux"":3.2}"
"Pilsen","21B","modest","0.200","12.432","0.000","0.200","5","6.71","99.3","{""gypse"":6.5,""epsom"":2.4,""nacl"":1.4,""kcl"":2.8,""chaux"":3.2}"
"Pilsen","21C","minimum","1.029","7.331","0.816","0.212","3","1.81","-103.9","{""gypse"":4.1,""cacl2"":7.8,""kcl"":2.1}"
"Pilsen","21C","target","2.413","10.124","2.108","0.305","3","1.79","-103.7","{""gypse"":4.2,""cacl2"":7.7,""nacl"":1.7}"
"Pilsen","21C","modest","1.552","9.242","1.487","0.064","4","2.13","-106.1","{""gypse"":3.4,""cacl2"":8.3,""epsom"":1.1,""nacl"":1.2}"
"Pilsen","23A","minimum","3.608","4.468","3.613","-0.004","2","1.85","-47.5","{""gypse"":2,""cacl2"":3.8}"
"Pilsen","23A","target","6.508","7.021","6.450","0.057","2","2.16","-47.5","{""gypse"":2,""cacl2"":3.8}"
"Pilsen","23A","modest","6.508","7.021","6.450","0.057","2","1.94","-47.5","{""gypse"":2,""cacl2"":3.8}"
"Pilsen","27","minimum","3.796","4.564","3.777","0.019","3","2.09","-43","{""gypse"":2.4,""cacl2"":3,""nacl"":4.3}"
"Pilsen","27","target","13.322","35.185","13.322","0.001","2","1.99","-16.3","{""gypse"":2.7,""nacl"":7.4}"
"Pilsen","27","modest","3.949","4.692","3.931","0.018","3","1.97","-43","{""gypse"":2.4,""cacl2"":3,""nacl"":4.3}"
"Pilsen","24A","minimum","1.511","1.510","0.816","0.695","2","2.29","-58.6","{""gypse"":2.4,""cacl2"":4.6}"
"Pilsen","24A","target","3.903","5.826","3.872","0.031","3","2.09","-50.7","{""gypse"":2.5,""cacl2"":3.7,""nacl"":0.8}"
"Pilsen","24A","modest","3.903","5.826","3.872","0.031","3","2.15","-50.7","{""gypse"":2.5,""cacl2"":3.7,""nacl"":0.8}"
"Pilsen","24C","minimum","1.371","1.370","0.816","0.555","2","2.18","-74.4","{""gypse"":4.3,""cacl2"":4.6}"
"Pilsen","24C","target","4.865","7.115","4.857","0.008","3","1.98","-65.5","{""gypse"":4.4,""cacl2"":3.6,""nacl"":0.9}"
"Pilsen","24C","modest","3.955","5.792","3.949","0.006","3","2.15","-67.4","{""gypse"":4.4,""cacl2"":3.8,""nacl"":0.7}"
"Pilsen","25B","minimum","0.926","3.480","0.816","0.109","3","2.07","-66.3","{""gypse"":5.9,""cacl2"":2.4,""kcl"":1.1}"
"Pilsen","25B","target","2.860","6.617","2.812","0.048","3","2.02","-63.4","{""gypse"":5.9,""cacl2"":2.1,""nacl"":1.1}"
"Pilsen","25B","modest","2.860","6.617","2.812","0.048","3","2.14","-63.4","{""gypse"":5.9,""cacl2"":2.1,""nacl"":1.1}"
"Pilsen","26C","minimum","1.745","2.318","1.616","0.129","2","1.87","-63.6","{""gypse"":4.4,""cacl2"":3.4}"
"Pilsen","26C","target","5.690","5.891","5.091","0.599","2","2.31","-63.6","{""gypse"":4.4,""cacl2"":3.4}"
"Pilsen","26C","modest","5.690","5.891","5.091","0.599","2","1.79","-63.6","{""gypse"":4.4,""cacl2"":3.4}"
"Pilsen","26D","minimum","11.831","11.723","11.825","0.006","3","3.84","47.1","{""gypse"":3.9,""cacl2"":5,""nahco3"":4.1}"
"Pilsen","26D","target","5.266","5.447","5.253","0.013","3","4.07","47.1","{""gypse"":3.9,""cacl2"":5,""nahco3"":4.1}"
"Pilsen","26D","modest","6.854","6.886","6.844","0.010","3","4.55","47.1","{""gypse"":3.9,""cacl2"":5,""nahco3"":4.1}"
"Pilsen","NA-BLONDE","minimum","0.670","7.200","0.577","0.093","3","2.11","-67.5","{""gypse"":2.3,""cacl2"":5.6,""nacl"":0.6}"
"Pilsen","NA-BLONDE","target","3.564","8.573","3.512","0.052","3","1.87","-61.5","{""gypse"":2.4,""cacl2"":4.9,""nacl"":1.2}"
"Pilsen","NA-BLONDE","modest","2.733","7.937","2.634","0.099","3","1.88","-63.4","{""gypse"":2.4,""cacl2"":5.1,""nacl"":1}"
"Pilsen","NA-IPA","minimum","0.647","12.301","0.577","0.070","4","2.02","-82.9","{""gypse"":4.5,""cacl2"":5.3,""nacl"":0.6,""kcl"":2.1}"
"Pilsen","NA-IPA","target","0.583","13.152","0.546","0.037","4","1.80","-86","{""gypse"":3.6,""cacl2"":6,""epsom"":1.3,""nacl"":1.7}"
"Pilsen","NA-IPA","modest","0.178","12.746","0.000","0.178","4","1.95","-88.3","{""gypse"":3.2,""cacl2"":6.4,""epsom"":1.9,""nacl"":1.4}"
"Pilsen","NA-WEISS","minimum","0.845","9.812","0.577","0.268","4","1.91","-51.1","{""gypse"":2.2,""cacl2"":4,""nacl"":0.6,""kcl"":1.2}"
"Pilsen","NA-WEISS","target","1.910","10.860","1.788","0.122","3","2.14","-50.2","{""gypse"":2.2,""cacl2"":3.9,""nacl"":1.6}"
"Pilsen","NA-WEISS","modest","1.879","10.365","1.167","0.712","3","2.20","-51.2","{""gypse"":2.1,""cacl2"":4.1,""nacl"":1.4}"
"Pilsen","NA-STOUT","minimum","11.529","11.532","11.417","0.112","3","2.94","101.2","{""gypse"":2.1,""cacl2"":7.7,""nahco3"":6.3}"
"Pilsen","NA-STOUT","target","6.292","6.297","5.800","0.492","3","5.17","101.2","{""gypse"":2.1,""cacl2"":7.7,""nahco3"":6.3}"
"Pilsen","NA-STOUT","modest","11.744","11.747","11.488","0.256","3","2.50","101.2","{""gypse"":2.1,""cacl2"":7.7,""nahco3"":6.3}"
"Pilsen","NA-LAGER","minimum","0.859","7.471","0.577","0.282","3","3.03","-50.8","{""gypse"":2.4,""cacl2"":3.8,""nacl"":0.7}"
"Pilsen","NA-LAGER","target","2.516","8.184","2.504","0.012","3","2.20","-47.9","{""gypse"":2.4,""cacl2"":3.5,""nacl"":1}"
"Pilsen","NA-LAGER","modest","2.516","8.184","2.504","0.012","3","2.27","-47.9","{""gypse"":2.4,""cacl2"":3.5,""nacl"":1}"
"Pilsen","—","minimum","0.953","0.953","0.816","0.137","2","2.39","-77.2","{""gypse"":4.4,""cacl2"":4.8}"
"Pilsen","—","target","5.374","7.047","5.365","0.009","3","2.45","-70.2","{""gypse"":4.5,""cacl2"":4,""nacl"":0.8}"
"Pilsen","—","modest","4.446","5.707","4.424","0.022","3","1.97","-72.2","{""gypse"":4.5,""cacl2"":4.2,""nacl"":0.6}"
"Dublin","01A","minimum","29.145","31.348","29.143","0.002","1","0.16","44.5","{""kcl"":1.3}"
"Dublin","01A","target","28.923","31.141","28.914","0.009","1","0.13","44.5","{""kcl"":1.3}"
"Dublin","01A","modest","28.923","31.141","28.914","0.009","1","0.13","44.5","{""kcl"":1.3}"
"Dublin","05B","minimum","24.300","25.499","23.987","0.313","1","0.29","44.5","{""kcl"":2.1}"
"Dublin","05B","target","24.054","25.264","23.678","0.375","1","0.30","44.5","{""kcl"":2.1}"
"Dublin","05B","modest","24.054","25.264","23.678","0.375","1","0.30","44.5","{""kcl"":2.1}"
"Dublin","05D","minimum","22.026","25.334","22.026","-0.000","2","0.28","41.3","{""epsom"":1.1,""kcl"":1}"
"Dublin","05D","target","21.648","25.103","21.645","0.003","2","0.27","41","{""epsom"":1.2,""kcl"":1}"
"Dublin","05D","modest","21.648","25.103","21.645","0.003","2","0.26","41","{""epsom"":1.2,""kcl"":1}"
"Dublin","04A","minimum","27.394","29.616","27.392","0.002","1","0.14","44.5","{""kcl"":1.8}"
"Dublin","04A","target","27.175","29.414","27.148","0.028","1","0.13","44.5","{""kcl"":1.8}"
"Dublin","04A","modest","27.175","29.414","27.148","0.028","1","0.13","44.5","{""kcl"":1.8}"
"Dublin","06C","minimum","19.692","25.291","19.680","0.012","3","0.29","58.5","{""mgcl2"":1.1,""kcl"":2.8,""nahco3"":0.6}"
"Dublin","06C","target","19.134","24.968","18.881","0.253","2","0.29","60","{""mgcl2"":4.9,""nahco3"":1.1}"
"Dublin","06C","modest","19.291","24.893","18.881","0.409","2","0.28","60","{""mgcl2"":4.9,""nahco3"":1.1}"
"Dublin","08B","minimum","20.428","25.779","20.416","0.011","3","0.33","85.3","{""mgcl2"":1.1,""kcl"":2.8,""nahco3"":1.5}"
"Dublin","08B","target","18.945","24.898","18.944","0.001","3","0.29","83.5","{""mgcl2"":1.6,""kcl"":2.5,""nahco3"":1.5}"
"Dublin","08B","modest","18.945","24.898","18.944","0.001","3","0.45","83.5","{""mgcl2"":1.6,""kcl"":2.5,""nahco3"":1.5}"
"Dublin","10A","minimum","25.287","28.945","25.285","0.002","1","0.13","44.5","{""kcl"":2.8}"
