water,style,mode,error_ppm,old_error_ppm,conditional_lower_bound_ppm,gap_ppm,salts,ms,ra,doses
"Osmosée","18B","modest","5.271","6.462","5.263","0.008","3","2.88","-99.5","{""gypse"":8.1,""cacl2"":3.3,""nacl"":0.7}"
"Osmosée","21A","minimum","0.346","4.813","0.000","0.346","3","2.55","-128.4","{""gypse"":13.1,""cacl2"":2,""kcl"":1.4}"
"Osmosée","21A","target","3.734","9.142","3.698","0.037","3","2.04","-124.4","{""gypse"":13.2,""cacl2"":1.5,""nacl"":1.5}"
"Osmosée","21A","modest","3.204","8.052","3.071","0.133","3","2.15","-126.4","{""gypse"":13.1,""cacl2"":1.8,""nacl"":1.3}"
"Osmosée","21B","minimum","5.424","16.127","4.830","0.594","5","7.23","99.3","{""gypse"":4.8,""cacl2"":2,""epsom"":5.1,""kcl"":2.8,""chaux"":3.6}"
"Osmosée","21B","target","1.400","13.080","0.000","1.400","5","11.98","101.4","{""gypse"":6.6,""epsom"":2.6,""nacl"":1.6,""kcl"":2.8,""chaux"":3.4}"
"Osmosée","21B","modest","1.400","13.080","0.000","1.400","5","13.56","101.4","{""gypse"":6.6,""epsom"":2.6,""nacl"":1.6,""kcl"":2.8,""chaux"":3.4}"
"Osmosée","21C","minimum","0.372","6.501","0.000","0.372","3","2.03","-117.4","{""gypse"":4.4,""cacl2"":8.3,""kcl"":1.9}"
"Osmosée","21C","target","3.231","10.133","3.124","0.107","3","2.11","-116.4","{""gypse"":4.4,""cacl2"":8.2,""nacl"":1.6}"
"Osmosée","21C","modest","2.926","9.162","2.503","0.422","3","2.31","-117.4","{""gypse"":4.4,""cacl2"":8.3,""nacl"":1.5}"
"Osmosée","23A","minimum","4.301","5.158","4.282","0.019","2","2.15","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","23A","target","7.561","8.079","7.517","0.044","2","2.19","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","23A","modest","7.561","8.079","7.517","0.044","2","2.26","-59.1","{""gypse"":2.3,""cacl2"":4.1}"
"Osmosée","27","minimum","4.702","5.595","4.657","0.045","3","2.18","-53.4","{""gypse"":2.8,""cacl2"":3.1,""nacl"":4.5}"
"Osmosée","27","target","14.100","35.875","14.062","0.037","2","2.01","-24.9","{""gypse"":3,""nacl"":7.5}"
"Osmosée","27","modest","4.948","5.803","4.905","0.043","3","2.24","-53.4","{""gypse"":2.8,""cacl2"":3.1,""nacl"":4.5}"
"Osmosée","24A","minimum","0.518","0.518","0.000","0.518","2","2.17","-70.1","{""gypse"":2.7,""cacl2"":4.9}"
"Osmosée","24A","target","4.986","6.476","4.972","0.014","3","2.23","-63.2","{""gypse"":2.8,""cacl2"":4.1,""nacl"":0.7}"
"Osmosée","24A","modest","4.986","6.476","4.972","0.014","3","2.49","-63.2","{""gypse"":2.8,""cacl2"":4.1,""nacl"":0.7}"
"Osmosée","24C","minimum","0.321","0.321","0.000","0.321","2","1.89","-85.9","{""gypse"":4.6,""cacl2"":4.9}"
"Osmosée","24C","target","5.970","7.779","5.959","0.011","3","2.10","-77.1","{""gypse"":4.7,""cacl2"":3.9,""nacl"":0.9}"
"Osmosée","24C","modest","5.072","6.463","5.050","0.022","3","2.60","-79","{""gypse"":4.7,""cacl2"":4.1,""nacl"":0.7}"
"Osmosée","25B","minimum","0.387","2.583","0.000","0.387","3","2.29","-79.9","{""gypse"":6.1,""cacl2"":3,""kcl"":0.8}"
"Osmosée","25B","target","3.875","6.953","3.848","0.026","3","2.28","-76.9","{""gypse"":6.2,""cacl2"":2.6,""nacl"":1}"
"Osmosée","25B","modest","3.875","6.953","3.848","0.026","3","2.31","-76.9","{""gypse"":6.2,""cacl2"":2.6,""nacl"":1}"
"Osmosée","26C","minimum","2.192","2.831","2.158","0.034","2","1.89","-75.1","{""gypse"":4.7,""cacl2"":3.7}"
"Osmosée","26C","target","6.593","6.832","6.175","0.418","2","2.06","-75.1","{""gypse"":4.7,""cacl2"":3.7}"
"Osmosée","26C","modest","6.593","6.832","6.175","0.418","2","2.16","-75.1","{""gypse"":4.7,""cacl2"":3.7}"
"Osmosée","26D","minimum","12.503","12.559","12.504","-0.001","3","4.57","46.4","{""gypse"":4.2,""cacl2"":5.4,""nahco3"":4.5}"
"Osmosée","26D","target","6.318","6.805","6.319","-0.002","3","4.36","46.4","{""gypse"":4.2,""cacl2"":5.4,""nahco3"":4.5}"
"Osmosée","26D","modest","7.810","8.107","7.811","-0.001","3","5.35","46.4","{""gypse"":4.2,""cacl2"":5.4,""nahco3"":4.5}"
"Osmosée","NA-BLONDE","minimum","0.798","7.937","0.786","0.013","3","2.72","-79.1","{""gypse"":2.6,""cacl2"":5.9,""nacl"":0.6}"
"Osmosée","NA-BLONDE","target","4.649","9.438","4.614","0.035","3","2.51","-74.2","{""gypse"":2.6,""cacl2"":5.4,""nacl"":1.1}"
"Osmosée","NA-BLONDE","modest","3.739","8.831","3.727","0.012","3","2.14","-76.1","{""gypse"":2.6,""cacl2"":5.6,""nacl"":0.9}"
"Osmosée","NA-IPA","minimum","0.268","12.068","0.000","0.268","4","2.28","-96.4","{""gypse"":4.8,""cacl2"":5.8,""nacl"":0.7,""kcl"":1.8}"
"Osmosée","NA-IPA","target","1.566","13.104","1.562","0.004","4","2.17","-98.6","{""gypse"":4.8,""cacl2"":5.7,""mgcl2"":0.9,""nacl"":1.7}"
"Osmosée","NA-IPA","modest","0.939","12.674","0.941","-0.002","4","2.12","-100.4","{""gypse"":4.8,""cacl2"":5.7,""mgcl2"":1.4,""nacl"":1.4}"
"Osmosée","NA-WEISS","minimum","0.411","10.075","0.000","0.411","4","2.26","-63.8","{""gypse"":2.4,""cacl2"":4.5,""nacl"":0.8,""kcl"":0.7}"
"Osmosée","NA-WEISS","target","2.890","11.296","2.804","0.086","3","2.26","-61.8","{""gypse"":2.4,""cacl2"":4.3,""nacl"":1.6}"
"Osmosée","NA-WEISS","modest","2.415","10.794","2.183","0.232","3","2.21","-63.8","{""gypse"":2.4,""cacl2"":4.5,""nacl"":1.4}"
"Osmosée","NA-STOUT","minimum","11.446","11.446","11.345","0.101","4","2.84","100.4","{""gypse"":2.4,""cacl2"":8,""nahco3"":6.5,""chaux"":0.1}"
